,Brand Name,Specific Bar Origin,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Bean Origin
89,AMMA,Monte Alegre,572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
90,AMMA,Monte Alegre,572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
91,AMMA,Monte Alegre,572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
92,AMMA,Monte Alegre,572,2010,60%,Brazil,4.0,Forastero (Parazinho),Brazil
93,Anahata,Elvesia,1259,2014,75%,U.S.A.,3.0,Trinitario,Dominican Republic
94,Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5,Criollo,Bolivia
95,Ara,Madagascar,1375,2014,75%,France,3.0,Trinitario,Madagascar
96,Ara,Chiapas,1379,2014,72%,France,2.5,Criollo,Mexico
97,Ara,Equateur,1379,2014,75%,France,2.75,Forastero (Arriba),Ecuador
98,Ara,Trincheras,1379,2014,75%,France,3.0,Criollo,Venezuela
99,Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
100,Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75,Trinitario,Tanzania
101,Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam
102,Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25,Forastero (Arriba),Ecuador
103,Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25,Forastero (Arriba),Ecuador
104,Arete,Lachua,1904,2016,70%,U.S.A.,3.5,Trinitario,Guatemala
105,Arete,Rugoso,1904,2016,70%,U.S.A.,3.75,Trinitario,Nicaragua
106,Arete,La Masica,1908,2016,70%,U.S.A.,3.5,Trinitario,Honduras
107,Arete,Coto Brus,1908,2016,70%,U.S.A.,4.0,Trinitario,Costa Rica
108,Arete,Phantom,1924,2016,70%,U.S.A.,4.0,Nacional,Peru
109,Arete,Elvesia,1928,2016,70%,U.S.A.,3.75,Trinitario,Dominican Republic
110,Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25,Trinitario,Fiji
111,Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25,Trinitario,Vietnam
112,Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5,Trinitario,Brazil
113,Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Nacional,Peru
114,Arete,Puerto Quito,1534,2015,70%,U.S.A.,3.75,Nacional,Ecuador
115,Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5,Trinitario,Dominican Republic
116,Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize
117,Arete,Chuno,1598,2015,70%,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
118,Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75,Trinitario,Brazil
119,Arete,Guatemala,1602,2015,70%,U.S.A.,3.25,Trinitario,Guatemala
120,Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5,Forastero (Arriba),Ecuador
121,Artisan du Chocolat, Heritage,1193,2013,72%,U.K.,3.25,Trinitario,Trinidad
122,Artisan du Chocolat, Casa Luker,947,2012,72%,U.K.,3.75,Trinitario,Colombia
123,Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4.0,Trinitario,Haiti
124,Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75,Trinitario,Panama
125,Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75,Criollo,Venezuela
126,Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica
127,Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25,Trinitario,Costa Rica
128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam
129,Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5,Trinitario,Indonesia
130,Artisan du Chocolat,Ocumare,355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela
131,Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia
132,Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75,Trinitario,Brazil
133,Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3.0,"Criollo, Trinitario",Madagascar
134,Artisan du Chocolat,Peru,363,2009,75%,U.K.,3.0,Criollo,Peru
135,Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic
136,Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo
